Source,Target,Edge Type,Weight,Label
crowley_book_of_law,abbey_thelema,direct_influence,4,influenced
murray_witch_cult,gardner_witchcraft_today,direct_influence,4,influenced
fortune_joins_alpha_omega,inner_light,direct_influence,4,influenced
fortune_psychic_crisis,fortune_joins_alpha_omega,direct_influence,4,influenced
moina_mathers_leadership,fortune_joins_alpha_omega,direct_influence,4,influenced
crowley_expelled_italy,abbey_thelema_raided,direct_influence,4,influenced
abbey_thelema,crowley_expelled_italy,direct_influence,4,influenced
fortune_psychic_defense_articles,dion_fortune_psychic_defense,direct_influence,4,influenced
fortune_psychic_crisis,fortune_psychic_defense_articles,direct_influence,4,influenced
crowley_expelled_italy,abbey_thelema_raided,direct_influence,4,influenced
inner_light,dion_fortune_psychic_defense,direct_influence,4,influenced
inner_light,fortune_magical_battle,direct_influence,4,influenced
fortune_joins_alpha_omega,inner_light,direct_influence,4,influenced
fortune_psychic_crisis,inner_light,direct_influence,4,influenced
gd_founding,yeats_vision,direct_influence,4,influenced
yeats_hour_glass,yeats_vision,direct_influence,4,influenced
crowley_magick_theory_practice,crowley_book_of_thoth,direct_influence,4,influenced
crowley_magick_book,crowley_magick_theory_practice,direct_influence,4,influenced
abbey_thelema,crowley_magick_theory_practice,direct_influence,4,influenced
dion_fortune_psychic_defense,fortune_magical_battle,direct_influence,4,influenced
inner_light,dion_fortune_psychic_defense,direct_influence,4,influenced
fortune_psychic_defense_articles,dion_fortune_psychic_defense,direct_influence,4,influenced
gardner_folklore_society,gardner_witchcraft_today,direct_influence,4,influenced
murray_witch_cult,gardner_folklore_society,direct_influence,4,influenced
inner_light,fortune_mystical_qabalah,direct_influence,4,influenced
gd_founding,fortune_mystical_qabalah,direct_influence,4,influenced
gd_founding,regardie_golden_dawn,direct_influence,4,influenced
murray_god_of_witches,gardner_witchcraft_today,direct_influence,4,influenced
murray_witch_cult,murray_god_of_witches,direct_influence,4,influenced
gardner_new_forest_initiation,gardner_witchcraft_today,direct_influence,4,influenced
murray_witch_cult,gardner_new_forest_initiation,direct_influence,4,influenced
gardner_folklore_society,gardner_new_forest_initiation,direct_influence,4,influenced
blitz_begins,blitz_protective_magic,direct_influence,4,influenced
inner_light,fortune_magical_battle,direct_influence,4,influenced
dion_fortune_psychic_defense,fortune_magical_battle,direct_influence,4,influenced
wwi_trench_magic,blitz_protective_magic,direct_influence,4,influenced
blitz_begins,blitz_protective_magic,direct_influence,4,influenced
waite_smith_tarot,crowley_book_of_thoth,direct_influence,4,influenced
crowley_magick_theory_practice,crowley_book_of_thoth,direct_influence,4,influenced
witchcraft_act_repeal,gardner_witchcraft_today,direct_influence,4,influenced
papyrus_ani,hermetic_texts,direct_influence,4,influenced
picatrix_translation,key_of_solomon,direct_influence,4,influenced
sefer_hazohar,gd_founding,direct_influence,4,influenced
john_dee_monas,gd_founding,direct_influence,4,influenced
rosicrucian_revival,gd_founding,direct_influence,4,influenced
barrett_magus,levi_dogme_rituel,direct_influence,4,influenced
barrett_magus,gd_founding,direct_influence,4,influenced
fox_sisters_hydesville,spiritualism_boom_1917,direct_influence,4,influenced
levi_dogme_rituel,gd_founding,direct_influence,4,influenced
barrett_magus,levi_dogme_rituel,direct_influence,4,influenced
houghton_spirit_drawings,hilma_af_klint_paintings,direct_influence,4,influenced
fox_sisters_hydesville,houghton_spirit_drawings,direct_influence,4,influenced
leland_aradia,murray_witch_cult,direct_influence,4,influenced
leland_aradia,gardner_witchcraft_today,direct_influence,4,influenced
witchcraft_act_repeal,gardner_witchcraft_today,direct_influence,4,influenced
murray_witch_cult,gardner_witchcraft_today,direct_influence,4,influenced
leland_aradia,gardner_witchcraft_today,direct_influence,4,influenced
crowley_book_of_thoth,kenneth_anger_inauguration,direct_influence,4,influenced
fox_sisters_hydesville,roberts_seth_material,direct_influence,4,influenced
kenneth_anger_inauguration,jodorowsky_holy_mountain,direct_influence,4,influenced
beuys_dead_hare,schneemann_interior_scroll,direct_influence,4,influenced
spare_book_of_pleasure,carroll_liber_null,direct_influence,4,influenced
klarwein_bitches_brew,alex_grey_sacred_mirrors,direct_influence,4,influenced
carroll_liber_null,topy_founding,direct_influence,4,influenced
spare_book_of_pleasure,topy_founding,direct_influence,4,influenced
the_craft_film,instagram_witch_aesthetic,direct_influence,4,influenced
alex_grey_sacred_mirrors,chapel_sacred_mirrors,direct_influence,4,influenced
instagram_witch_aesthetic,witchtok_trend,direct_influence,4,influenced
the_craft_film,instagram_witch_aesthetic,direct_influence,4,influenced
ahs_coven,witchtok_trend,direct_influence,4,influenced
the_craft_film,ahs_coven,direct_influence,4,influenced
instagram_witch_aesthetic,witchtok_trend,direct_influence,4,influenced
ahs_coven,witchtok_trend,direct_influence,4,influenced
witch_hunt_reclamation,witch_1968,direct_influence,4,influenced
witch_hunt_reclamation,dianic_wicca,direct_influence,4,influenced
witch_hunt_reclamation,hex_patriarchy,direct_influence,4,influenced
fox_sisters_spiritualism,suffrage_movement,direct_influence,4,influenced
fox_sisters_spiritualism,theosophy_social,direct_influence,4,influenced
theosophy_anticolonial,indian_independence,direct_influence,4,influenced
theosophy_anticolonial,gardner_wicca,direct_influence,4,influenced
fox_sisters_spiritualism,theosophy_anticolonial,direct_influence,4,influenced
gardner_wicca_politics,dianic_wicca,direct_influence,4,influenced
gardner_wicca_politics,spiral_dance,direct_influence,4,influenced
gardner_wicca_politics,reclaiming,direct_influence,4,influenced
theosophy_anticolonial,gardner_wicca_politics,direct_influence,4,influenced
gd_founding,gardner_wicca_politics,direct_influence,4,influenced
witch_1968,dianic_wicca,direct_influence,4,influenced
witch_1968,reclaiming,direct_influence,4,influenced
witch_1968,hex_patriarchy,direct_influence,4,influenced
witch_hunt_reclamation,witch_1968,direct_influence,4,influenced
fox_sisters_spiritualism,witch_1968,direct_influence,4,influenced
dianic_wicca,reclaiming,direct_influence,4,influenced
dianic_wicca,goddess_movement,direct_influence,4,influenced
witch_1968,dianic_wicca,direct_influence,4,influenced
gardner_wicca_politics,dianic_wicca,direct_influence,4,influenced
spiral_dance,occupy_rituals,direct_influence,4,influenced
spiral_dance,magic_resistance,direct_influence,4,influenced
dianic_wicca,spiral_dance,direct_influence,4,influenced
gardner_wicca_politics,spiral_dance,direct_influence,4,influenced
radical_faeries,lgbtq_paganism,direct_influence,4,influenced
gardner_wicca_politics,radical_faeries,direct_influence,4,influenced
gay_liberation,radical_faeries,direct_influence,4,influenced
gardner_wicca_politics,pentacle_headstones,direct_influence,4,influenced
magic_resistance,hex_patriarchy,direct_influence,4,influenced
magic_resistance,witchtok_activism,direct_influence,4,influenced
witch_1968,magic_resistance,direct_influence,4,influenced
spiral_dance,magic_resistance,direct_influence,4,influenced
hex_patriarchy,witchtok_activism,direct_influence,4,influenced
witch_1968,hex_patriarchy,direct_influence,4,influenced
magic_resistance,hex_patriarchy,direct_influence,4,influenced
occupy_rituals,climate_activism,direct_influence,4,influenced
spiral_dance,occupy_rituals,direct_influence,4,influenced
magic_resistance,witchtok_activism,direct_influence,4,influenced
hex_patriarchy,witchtok_activism,direct_influence,4,influenced
spiral_dance,decolonial_paganism,direct_influence,4,influenced
environmentalism,decolonial_paganism,direct_influence,4,influenced
murray_witch_cult,gardner_wicca,direct_influence,4,influenced
gay_liberation,radical_faeries,direct_influence,4,influenced
gd_founding,moina_mathers_leadership,shared_figure,2,MacGregor Mathers
crowley_book_of_law,crowley_equinox_journal,shared_figure,2,Aleister Crowley
crowley_book_of_law,crowley_oto_head,shared_figure,2,Aleister Crowley
crowley_book_of_law,crowley_magick_book,shared_figure,2,Aleister Crowley
crowley_book_of_law,abbey_thelema,shared_figure,2,Aleister Crowley
crowley_book_of_law,crowley_expelled_italy,shared_figure,2,Aleister Crowley
crowley_book_of_law,abbey_thelema_raided,shared_figure,2,Aleister Crowley
crowley_book_of_law,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
crowley_book_of_law,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
crowley_book_of_law,crowley_death,shared_figure,2,Aleister Crowley
crowley_book_of_law,a_a_founding,shared_figure,2,Aleister Crowley
crowley_equinox_journal,crowley_oto_head,shared_figure,2,Aleister Crowley
crowley_equinox_journal,crowley_magick_book,shared_figure,2,Aleister Crowley
crowley_equinox_journal,abbey_thelema,shared_figure,2,Aleister Crowley
crowley_equinox_journal,crowley_expelled_italy,shared_figure,2,Aleister Crowley
crowley_equinox_journal,abbey_thelema_raided,shared_figure,2,Aleister Crowley
crowley_equinox_journal,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
crowley_equinox_journal,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
crowley_equinox_journal,crowley_death,shared_figure,2,Aleister Crowley
crowley_equinox_journal,a_a_founding,shared_figure,2,Aleister Crowley
crowley_oto_head,crowley_magick_book,shared_figure,2,Aleister Crowley
crowley_oto_head,abbey_thelema,shared_figure,2,Aleister Crowley
crowley_oto_head,crowley_expelled_italy,shared_figure,2,Aleister Crowley
crowley_oto_head,abbey_thelema_raided,shared_figure,2,Aleister Crowley
crowley_oto_head,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
crowley_oto_head,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
crowley_oto_head,crowley_death,shared_figure,2,Aleister Crowley
crowley_oto_head,a_a_founding,shared_figure,2,Aleister Crowley
crowley_magick_book,abbey_thelema,shared_figure,2,Aleister Crowley
crowley_magick_book,crowley_expelled_italy,shared_figure,2,Aleister Crowley
crowley_magick_book,abbey_thelema_raided,shared_figure,2,Aleister Crowley
crowley_magick_book,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
crowley_magick_book,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
crowley_magick_book,crowley_death,shared_figure,2,Aleister Crowley
crowley_magick_book,a_a_founding,shared_figure,2,Aleister Crowley
abbey_thelema,crowley_expelled_italy,shared_figure,2,Aleister Crowley
abbey_thelema,abbey_thelema_raided,shared_figure,2,Aleister Crowley
abbey_thelema,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
abbey_thelema,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
abbey_thelema,crowley_death,shared_figure,2,Aleister Crowley
abbey_thelema,a_a_founding,shared_figure,2,Aleister Crowley
crowley_expelled_italy,abbey_thelema_raided,shared_figure,2,Aleister Crowley
crowley_expelled_italy,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
crowley_expelled_italy,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
crowley_expelled_italy,crowley_death,shared_figure,2,Aleister Crowley
crowley_expelled_italy,a_a_founding,shared_figure,2,Aleister Crowley
abbey_thelema_raided,crowley_magick_theory_practice,shared_figure,2,Aleister Crowley
abbey_thelema_raided,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
abbey_thelema_raided,crowley_death,shared_figure,2,Aleister Crowley
abbey_thelema_raided,a_a_founding,shared_figure,2,Aleister Crowley
crowley_magick_theory_practice,crowley_book_of_thoth,shared_figure,2,Aleister Crowley
crowley_magick_theory_practice,crowley_death,shared_figure,2,Aleister Crowley
crowley_magick_theory_practice,a_a_founding,shared_figure,2,Aleister Crowley
crowley_book_of_thoth,crowley_death,shared_figure,2,Aleister Crowley
crowley_book_of_thoth,a_a_founding,shared_figure,2,Aleister Crowley
crowley_death,a_a_founding,shared_figure,2,Aleister Crowley
waite_smith_tarot,waite_ceremonial_magic,shared_figure,2,Arthur Edward Waite
yeats_hour_glass,yeats_vision,shared_figure,2,W.B. Yeats
moina_mathers_leadership,fortune_joins_alpha_omega,shared_figure,2,Moina Mathers
fortune_psychic_crisis,fortune_joins_alpha_omega,shared_figure,2,Dion Fortune
fortune_psychic_crisis,fortune_psychic_defense_articles,shared_figure,2,Dion Fortune
fortune_psychic_crisis,inner_light,shared_figure,2,Dion Fortune
fortune_psychic_crisis,dion_fortune_psychic_defense,shared_figure,2,Dion Fortune
fortune_psychic_crisis,fortune_mystical_qabalah,shared_figure,2,Dion Fortune
fortune_psychic_crisis,fortune_magical_battle,shared_figure,2,Dion Fortune
fortune_psychic_crisis,dion_fortune_death,shared_figure,2,Dion Fortune
fortune_psychic_crisis,stella_matutina,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,fortune_psychic_defense_articles,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,inner_light,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,dion_fortune_psychic_defense,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,fortune_mystical_qabalah,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,fortune_magical_battle,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,dion_fortune_death,shared_figure,2,Dion Fortune
fortune_joins_alpha_omega,stella_matutina,shared_figure,2,Dion Fortune
fortune_psychic_defense_articles,inner_light,shared_figure,2,Dion Fortune
fortune_psychic_defense_articles,dion_fortune_psychic_defense,shared_figure,2,Dion Fortune
fortune_psychic_defense_articles,fortune_mystical_qabalah,shared_figure,2,Dion Fortune
fortune_psychic_defense_articles,fortune_magical_battle,shared_figure,2,Dion Fortune
fortune_psychic_defense_articles,dion_fortune_death,shared_figure,2,Dion Fortune
fortune_psychic_defense_articles,stella_matutina,shared_figure,2,Dion Fortune
inner_light,dion_fortune_psychic_defense,shared_figure,2,Dion Fortune
inner_light,fortune_mystical_qabalah,shared_figure,2,Dion Fortune
inner_light,fortune_magical_battle,shared_figure,2,Dion Fortune
inner_light,dion_fortune_death,shared_figure,2,Dion Fortune
inner_light,stella_matutina,shared_figure,2,Dion Fortune
dion_fortune_psychic_defense,fortune_mystical_qabalah,shared_figure,2,Dion Fortune
dion_fortune_psychic_defense,fortune_magical_battle,shared_figure,2,Dion Fortune
dion_fortune_psychic_defense,dion_fortune_death,shared_figure,2,Dion Fortune
dion_fortune_psychic_defense,stella_matutina,shared_figure,2,Dion Fortune
fortune_mystical_qabalah,fortune_magical_battle,shared_figure,2,Dion Fortune
fortune_mystical_qabalah,dion_fortune_death,shared_figure,2,Dion Fortune
fortune_mystical_qabalah,stella_matutina,shared_figure,2,Dion Fortune
fortune_magical_battle,dion_fortune_death,shared_figure,2,Dion Fortune
fortune_magical_battle,stella_matutina,shared_figure,2,Dion Fortune
dion_fortune_death,stella_matutina,shared_figure,2,Dion Fortune
gardner_returns_colonial,gardner_folklore_society,shared_figure,2,Gerald Gardner
gardner_returns_colonial,gardner_new_forest_initiation,shared_figure,2,Gerald Gardner
gardner_returns_colonial,witchcraft_act_repeal,shared_figure,2,Gerald Gardner
gardner_returns_colonial,gardner_witchcraft_today,shared_figure,2,Gerald Gardner
gardner_returns_colonial,gardner_wicca_politics,shared_figure,2,Gerald Gardner
gardner_returns_colonial,gardner_wicca,shared_figure,2,Gerald Gardner
gardner_folklore_society,gardner_new_forest_initiation,shared_figure,2,Gerald Gardner
gardner_folklore_society,witchcraft_act_repeal,shared_figure,2,Gerald Gardner
gardner_folklore_society,gardner_witchcraft_today,shared_figure,2,Gerald Gardner
gardner_folklore_society,gardner_wicca_politics,shared_figure,2,Gerald Gardner
gardner_folklore_society,gardner_wicca,shared_figure,2,Gerald Gardner
gardner_new_forest_initiation,witchcraft_act_repeal,shared_figure,2,Gerald Gardner
gardner_new_forest_initiation,gardner_witchcraft_today,shared_figure,2,Gerald Gardner
gardner_new_forest_initiation,gardner_wicca_politics,shared_figure,2,Gerald Gardner
gardner_new_forest_initiation,gardner_wicca,shared_figure,2,Gerald Gardner
witchcraft_act_repeal,gardner_witchcraft_today,shared_figure,2,Gerald Gardner
witchcraft_act_repeal,gardner_wicca_politics,shared_figure,2,Gerald Gardner
witchcraft_act_repeal,gardner_wicca,shared_figure,2,Gerald Gardner
gardner_witchcraft_today,gardner_wicca_politics,shared_figure,2,Gerald Gardner
gardner_witchcraft_today,gardner_wicca,shared_figure,2,Gerald Gardner
gardner_wicca_politics,gardner_wicca,shared_figure,2,Gerald Gardner
murray_witch_cult,murray_god_of_witches,shared_figure,2,Margaret Murray
regardie_golden_dawn,stella_matutina,shared_figure,2,Israel Regardie
fox_sisters_hydesville,fox_sisters_spiritualism,shared_figure,2,Margaret Fox
fox_sisters_hydesville,fox_sisters_spiritualism,shared_figure,2,Kate Fox
alex_grey_sacred_mirrors,chapel_sacred_mirrors,shared_figure,2,Alex Grey
theosophy_anticolonial,theosophy_social,shared_figure,2,Henry Steel Olcott
gardner_wicca_politics,gardner_wicca,shared_figure,2,Doreen Valiente
spiral_dance,reclaiming,shared_figure,2,Starhawk (Miriam Simos)
radical_faeries,lgbtq_paganism,shared_figure,2,Harry Hay
radical_faeries,lgbtq_paganism,shared_figure,2,Don Kilhefner
radical_faeries,lgbtq_paganism,shared_figure,2,Mitch Walker
pentacle_headstones,climate_activism,shared_figure,2,Selena Fox
occupy_rituals,goddess_movement,shared_figure,2,Starhawk
occupy_rituals,wto_protests,shared_figure,2,Starhawk
occupy_rituals,climate_activism,shared_figure,2,Starhawk
goddess_movement,wto_protests,shared_figure,2,Starhawk
goddess_movement,climate_activism,shared_figure,2,Starhawk
wto_protests,climate_activism,shared_figure,2,Starhawk
gd_founding,crowley_book_of_law,shared_tradition,1,golden_dawn
gd_founding,waite_smith_tarot,shared_tradition,1,golden_dawn
gd_founding,crowley_equinox_journal,shared_tradition,1,golden_dawn
gd_founding,waite_ceremonial_magic,shared_tradition,1,golden_dawn
gd_founding,crowley_oto_head,shared_tradition,1,golden_dawn
gd_founding,spare_book_of_pleasure,shared_tradition,1,golden_dawn
gd_founding,crowley_magick_book,shared_tradition,1,golden_dawn
gd_founding,yeats_hour_glass,shared_tradition,1,golden_dawn
gd_founding,moina_mathers_leadership,shared_tradition,1,golden_dawn
gd_founding,fortune_psychic_crisis,shared_tradition,1,golden_dawn
gd_founding,abbey_thelema,shared_tradition,1,golden_dawn
gd_founding,fortune_joins_alpha_omega,shared_tradition,1,golden_dawn
gd_founding,fortune_psychic_defense_articles,shared_tradition,1,golden_dawn
gd_founding,inner_light,shared_tradition,1,golden_dawn
gd_founding,yeats_vision,shared_tradition,1,golden_dawn
gd_founding,crowley_magick_theory_practice,shared_tradition,1,golden_dawn
gd_founding,dion_fortune_psychic_defense,shared_tradition,1,golden_dawn
gd_founding,fortune_mystical_qabalah,shared_tradition,1,golden_dawn
gd_founding,regardie_golden_dawn,shared_tradition,1,golden_dawn
gd_founding,fortune_magical_battle,shared_tradition,1,golden_dawn
gd_founding,crowley_book_of_thoth,shared_tradition,1,golden_dawn
gd_founding,dion_fortune_death,shared_tradition,1,golden_dawn
gd_founding,crowley_death,shared_tradition,1,golden_dawn
gd_founding,sefer_hazohar,shared_tradition,1,golden_dawn
gd_founding,john_dee_monas,shared_tradition,1,golden_dawn
gd_founding,rosicrucian_revival,shared_tradition,1,golden_dawn
gd_founding,barrett_magus,shared_tradition,1,golden_dawn
gd_founding,levi_dogme_rituel,shared_tradition,1,golden_dawn
gd_founding,stella_matutina,shared_tradition,1,golden_dawn
gd_founding,hermetic_texts,shared_tradition,1,golden_dawn
gd_founding,key_of_solomon,shared_tradition,1,golden_dawn
crowley_book_of_law,waite_smith_tarot,shared_tradition,1,golden_dawn
crowley_book_of_law,crowley_equinox_journal,shared_tradition,1,golden_dawn
crowley_book_of_law,waite_ceremonial_magic,shared_tradition,1,golden_dawn
crowley_book_of_law,crowley_oto_head,shared_tradition,1,golden_dawn
crowley_book_of_law,spare_book_of_pleasure,shared_tradition,1,golden_dawn
crowley_book_of_law,crowley_magick_book,shared_tradition,1,golden_dawn
crowley_book_of_law,yeats_hour_glass,shared_tradition,1,golden_dawn
crowley_book_of_law,moina_mathers_leadership,shared_tradition,1,golden_dawn
crowley_book_of_law,fortune_psychic_crisis,shared_tradition,1,golden_dawn
crowley_book_of_law,abbey_thelema,shared_tradition,1,golden_dawn
crowley_book_of_law,fortune_joins_alpha_omega,shared_tradition,1,golden_dawn
crowley_book_of_law,fortune_psychic_defense_articles,shared_tradition,1,golden_dawn
crowley_book_of_law,inner_light,shared_tradition,1,golden_dawn
crowley_book_of_law,yeats_vision,shared_tradition,1,golden_dawn
crowley_book_of_law,crowley_magick_theory_practice,shared_tradition,1,golden_dawn
crowley_book_of_law,dion_fortune_psychic_defense,shared_tradition,1,golden_dawn
crowley_book_of_law,fortune_mystical_qabalah,shared_tradition,1,golden_dawn
crowley_book_of_law,regardie_golden_dawn,shared_tradition,1,golden_dawn
crowley_book_of_law,fortune_magical_battle,shared_tradition,1,golden_dawn
crowley_book_of_law,crowley_book_of_thoth,shared_tradition,1,golden_dawn
crowley_book_of_law,dion_fortune_death,shared_tradition,1,golden_dawn
crowley_book_of_law,crowley_death,shared_tradition,1,golden_dawn
crowley_book_of_law,sefer_hazohar,shared_tradition,1,golden_dawn
crowley_book_of_law,john_dee_monas,shared_tradition,1,golden_dawn
crowley_book_of_law,rosicrucian_revival,shared_tradition,1,golden_dawn
crowley_book_of_law,barrett_magus,shared_tradition,1,golden_dawn
crowley_book_of_law,levi_dogme_rituel,shared_tradition,1,golden_dawn
crowley_book_of_law,stella_matutina,shared_tradition,1,golden_dawn
crowley_book_of_law,hermetic_texts,shared_tradition,1,golden_dawn
crowley_book_of_law,key_of_solomon,shared_tradition,1,golden_dawn
waite_smith_tarot,crowley_equinox_journal,shared_tradition,1,golden_dawn
waite_smith_tarot,waite_ceremonial_magic,shared_tradition,1,golden_dawn
waite_smith_tarot,crowley_oto_head,shared_tradition,1,golden_dawn
waite_smith_tarot,spare_book_of_pleasure,shared_tradition,1,golden_dawn
waite_smith_tarot,crowley_magick_book,shared_tradition,1,golden_dawn
waite_smith_tarot,yeats_hour_glass,shared_tradition,1,golden_dawn
waite_smith_tarot,moina_mathers_leadership,shared_tradition,1,golden_dawn
waite_smith_tarot,fortune_psychic_crisis,shared_tradition,1,golden_dawn
waite_smith_tarot,abbey_thelema,shared_tradition,1,golden_dawn
waite_smith_tarot,fortune_joins_alpha_omega,shared_tradition,1,golden_dawn
waite_smith_tarot,fortune_psychic_defense_articles,shared_tradition,1,golden_dawn
waite_smith_tarot,inner_light,shared_tradition,1,golden_dawn
waite_smith_tarot,yeats_vision,shared_tradition,1,golden_dawn
waite_smith_tarot,crowley_magick_theory_practice,shared_tradition,1,golden_dawn
waite_smith_tarot,dion_fortune_psychic_defense,shared_tradition,1,golden_dawn
waite_smith_tarot,fortune_mystical_qabalah,shared_tradition,1,golden_dawn
waite_smith_tarot,regardie_golden_dawn,shared_tradition,1,golden_dawn
waite_smith_tarot,fortune_magical_battle,shared_tradition,1,golden_dawn
waite_smith_tarot,crowley_book_of_thoth,shared_tradition,1,golden_dawn
waite_smith_tarot,dion_fortune_death,shared_tradition,1,golden_dawn
waite_smith_tarot,crowley_death,shared_tradition,1,golden_dawn
waite_smith_tarot,sefer_hazohar,shared_tradition,1,golden_dawn
waite_smith_tarot,john_dee_monas,shared_tradition,1,golden_dawn
waite_smith_tarot,rosicrucian_revival,shared_tradition,1,golden_dawn
waite_smith_tarot,barrett_magus,shared_tradition,1,golden_dawn
waite_smith_tarot,levi_dogme_rituel,shared_tradition,1,golden_dawn
waite_smith_tarot,stella_matutina,shared_tradition,1,golden_dawn
waite_smith_tarot,hermetic_texts,shared_tradition,1,golden_dawn
waite_smith_tarot,key_of_solomon,shared_tradition,1,golden_dawn
crowley_equinox_journal,waite_ceremonial_magic,shared_tradition,1,golden_dawn
crowley_equinox_journal,crowley_oto_head,shared_tradition,1,golden_dawn
crowley_equinox_journal,spare_book_of_pleasure,shared_tradition,1,golden_dawn
crowley_equinox_journal,crowley_magick_book,shared_tradition,1,golden_dawn
crowley_equinox_journal,yeats_hour_glass,shared_tradition,1,golden_dawn
crowley_equinox_journal,moina_mathers_leadership,shared_tradition,1,golden_dawn
crowley_equinox_journal,fortune_psychic_crisis,shared_tradition,1,golden_dawn
crowley_equinox_journal,abbey_thelema,shared_tradition,1,golden_dawn
crowley_equinox_journal,fortune_joins_alpha_omega,shared_tradition,1,golden_dawn
crowley_equinox_journal,fortune_psychic_defense_articles,shared_tradition,1,golden_dawn
crowley_equinox_journal,inner_light,shared_tradition,1,golden_dawn
crowley_equinox_journal,yeats_vision,shared_tradition,1,golden_dawn
crowley_equinox_journal,crowley_magick_theory_practice,shared_tradition,1,golden_dawn
crowley_equinox_journal,dion_fortune_psychic_defense,shared_tradition,1,golden_dawn
crowley_equinox_journal,fortune_mystical_qabalah,shared_tradition,1,golden_dawn
crowley_equinox_journal,regardie_golden_dawn,shared_tradition,1,golden_dawn
crowley_equinox_journal,fortune_magical_battle,shared_tradition,1,golden_dawn
crowley_equinox_journal,crowley_book_of_thoth,shared_tradition,1,golden_dawn
crowley_equinox_journal,dion_fortune_death,shared_tradition,1,golden_dawn
crowley_equinox_journal,crowley_death,shared_tradition,1,golden_dawn
crowley_equinox_journal,sefer_hazohar,shared_tradition,1,golden_dawn
crowley_equinox_journal,john_dee_monas,shared_tradition,1,golden_dawn
crowley_equinox_journal,rosicrucian_revival,shared_tradition,1,golden_dawn
crowley_equinox_journal,barrett_magus,shared_tradition,1,golden_dawn
crowley_equinox_journal,levi_dogme_rituel,shared_tradition,1,golden_dawn
crowley_equinox_journal,stella_matutina,shared_tradition,1,golden_dawn
crowley_equinox_journal,hermetic_texts,shared_tradition,1,golden_dawn
crowley_equinox_journal,key_of_solomon,shared_tradition,1,golden_dawn
waite_ceremonial_magic,crowley_oto_head,shared_tradition,1,golden_dawn
waite_ceremonial_magic,spare_book_of_pleasure,shared_tradition,1,golden_dawn
waite_ceremonial_magic,crowley_magick_book,shared_tradition,1,golden_dawn
waite_ceremonial_magic,yeats_hour_glass,shared_tradition,1,golden_dawn
